"icode","n","min","max","mean","sd","product","meanpsd","meanmsd","code","realm","biome","area"
1,4109912,101.916667,1638.583333,923.549621,142.002217,"inter",1065.551838,781.547404,"AT_1","Afrotropics","Tropical & Subtropical Moist Broadleaf Forests",3493131.82776895
2,236635,544.916667,1519.75,987.469092,73.727956,"inter",1061.197048,913.741136,"AT_2","Afrotropics","Tropical & Subtropical Dry Broadleaf Forests",195296.351029083
3,16678175,396.25,2139.333333,996.021446,123.234013,"inter",1119.255459,872.787433,"AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands",14012152.6144706
4,32718,465.666667,1631.5,999.527602,136.6638,"inter",1136.191402,862.863802,"AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands",25842.0842717302
5,547700,676.583333,2132.333333,1046.472509,89.284521,"inter",1135.75703,957.187988,"AT_9","Afrotropics","Flooded Grasslands & Savannas",458825.014149343
6,1082136,92.5,1618.5,1090.222139,126.286005,"inter",1216.508144,963.936134,"AT_10","Afrotropics","Montane Grasslands & Shrublands",864245.767747328
7,133341,710.416667,1251.583333,939.206623,55.788266,"inter",994.994889,883.418357,"AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub",95863.7234657234
8,3035409,554.916667,1699.333333,1000.0939,149.519883,"inter",1149.613783,850.574017,"AT_13","Afrotropics","Deserts & Xeric Shrublands",2408177.6913716
9,90957,444.583333,1360.916667,922.748453,153.737154,"inter",1076.485607,769.011299,"AT_14","Afrotropics","Mangroves",76880.1227050211
10,182688,696.166667,1330.666667,1031.897529,98.402963,"inter",1130.300492,933.494566,"AT_98","Afrotropics","Lake",155945.223326255
11,15250247,156.916667,3611.142857,1497.360886,381.132851,"inter",1878.493737,1116.228035,"AN_11","Antarctic","Tundra",3224184.7464844
12,1358169,111.75,1719.416667,876.594875,241.011658,"inter",1117.606533,635.583217,"AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests",1160342.82886843
13,104288,259.666667,1795.833333,1264.996632,234.108513,"inter",1499.105145,1030.888119,"AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests",88348.3176177127
14,1060843,569.75,1634.333333,1122.263786,170.875792,"inter",1293.139578,951.387994,"AA_4","Australasia","Temperate Broadleaf & Mixed Forests",736810.28289232
15,2670428,655.916667,1690.666667,1316.45021,98.232015,"inter",1414.682225,1218.218195,"AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands",2170611.10563935
16,865493,738.666667,1522.25,1209.535594,104.101379,"inter",1313.636973,1105.434215,"AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands",631022.582964559
17,99967,90.166667,1416.25,960.946497,260.325068,"inter",1221.271565,700.621429,"AA_10","Australasia","Montane Grasslands & Shrublands",67647.4404677671
18,1630,442.5,940.333333,665.100204,93.084741,"inter",758.184945,572.015463,"AA_11","Australasia","Tundra",876.391879628791
19,1113014,669.333333,1386.25,1124.962213,68.889655,"inter",1193.851868,1056.072558,"AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub",805435.726597712
20,4626700,808.166667,2195.5,1192.1655,78.979896,"inter",1271.145396,1113.185604,"AA_13","Australasia","Deserts & Xeric Shrublands",3580111.63052413
21,31421,606.583333,1458.833333,973.891633,146.454977,"inter",1120.34661,827.436656,"AA_14","Australasia","Mangroves",26884.7535125501
22,6661401,150.416667,1708.833333,1003.603489,162.08538,"inter",1165.688869,841.518109,"IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests",5422854.37209134
23,1886721,557.166667,1622.416667,1041.021359,98.896969,"inter",1139.918328,942.12439,"IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests",1531782.59191699
24,127677,256.083333,1529,1088.161339,153.628779,"inter",1241.790118,934.53256,"IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests",95956.3882790413
25,200216,363,1479.666667,1060.247827,141.126452,"inter",1201.374279,919.121375,"IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests",149970.345753284
26,90962,132.75,1534.916667,1019.019349,182.274354,"inter",1201.293703,836.744995,"IM_5","IndoMalay","Temperate Conifer Forests",67304.1093393582
27,45388,714.416667,1290.333333,1062.101352,74.634975,"inter",1136.736327,987.466377,"IM_7","IndoMalay","Tropical & Subtropical Grasslands, Savannas & Shrublands",34651.8762386551
28,35520,708.666667,2943.5,1059.703643,270.955908,"inter",1330.659551,788.747735,"IM_9","IndoMalay","Flooded Grasslands & Savannas",27965.061625446
29,5088,208.583333,1183.5,672.083726,182.317996,"inter",854.401722,489.76573,"IM_10","IndoMalay","Montane Grasslands & Shrublands",4348.58030785199
30,1396261,605.083333,1575.75,1029.662998,105.326053,"inter",1134.989051,924.336945,"IM_13","IndoMalay","Deserts & Xeric Shrublands",1089110.26176248
31,142941,457.166667,1471.916667,1004.239948,121.313951,"inter",1125.553899,882.925997,"IM_14","IndoMalay","Mangroves",119125.2374617
32,666166,663.166667,1419.166667,1040.037814,117.834972,"inter",1157.872786,922.202842,"PA_1","Palearctic","Tropical & Subtropical Moist Broadleaf Forests",511013.17083952
33,14778591,0,1691.333333,1133.653844,122.68776,"inter",1256.341604,1010.966084,"PA_4","Palearctic","Temperate Broadleaf & Mixed Forests",8693080.70914956
34,2891794,57.833333,1726.333333,1092.856943,145.322075,"inter",1238.179018,947.534868,"PA_5","Palearctic","Temperate Conifer Forests",1713206.30862659
35,24585235,135.666667,1908.833333,1227.559794,136.963471,"inter",1364.523265,1090.596323,"PA_6","Palearctic","Boreal Forests/Taiga",9974753.84803102
36,8286176,313.166667,1850.666667,1188.502745,144.360014,"inter",1332.862759,1044.142731,"PA_8","Palearctic","Temperate Grasslands, Savannas & Shrublands",4720739.03932887
37,526657,433.333333,2956.5,1021.175735,220.01957,"inter",1241.195305,801.156165,"PA_9","Palearctic","Flooded Grasslands & Savannas",338367.403951761
38,4899545,0,1848.666667,1079.683619,133.536164,"inter",1213.219783,946.147455,"PA_10","Palearctic","Montane Grasslands & Shrublands",3392431.64470598
39,13143262,160.5,2563.333333,1306.034078,162.907673,"inter",1468.941751,1143.126405,"PA_11","Palearctic","Tundra",4057181.56827342
