"conc","theta"
NA,NA
4,236
4,252
4,268
4,282
4,294
4,311
6,325
7,336
8,339
9,342
10,343
12,345
12,347
13,348
13,347
12,346
12,344
12,340
11,337
11,335
11,334
11,333
11,332
11,330
11,329
11,328
11,326
11,325
12,324
12,323
12,322
12,321
12,320
13,319
13,318
13,317
13,315
13,314
14,314
14,313
14,312
14,311
15,310
14,310
14,309
14,308
14,307
14,306
14,304
14,303
15,303
15,302
15,301
16,300
16,299
16,298
16,297
16,301
16,302
16,304
16,303
17,301
17,299
17,302
17,303
17,304
17,306
17,307
18,306
18,307
18,308
18,309
18,310
19,311
19,312
19,313
19,314
18,315
18,314
18,316
19,316
19,310
19,315
18,313
20,314
20,315
18,312
19,317
20,316
18,317
19,318
19,319
20,312
20,313
20,311
20,310
19,309
20,317
18,311
19,308
19,307
20,308
20,309
19,306
20,305
20,304
20,306
20,307
21,309
21,308
22,308
22,309
21,307
19,305
19,304
21,306
20,303
19,303
19,302
19,301
18,303
19,300
20,299
20,298
19,298
19,299
20,300
20,301
21,298
20,297
20,296
20,295
21,297
21,296
21,295
21,294
21,293
21,292
21,291
22,296
22,297
22,295
22,294
22,293
21,290
20,291
21,289
20,290
19,290
19,289
19,288
19,287
20,287
19,286
20,286
20,288
20,289
20,285
20,284
20,283
19,284
19,285
19,283
19,282
19,281
19,280
19,279
19,278
20,278
20,277
21,276
20,276
20,279
21,280
21,279
21,278
20,275
21,275
20,274
20,273
21,273
21,272
21,271
21,274
20,272
20,271
20,270
20,269
20,268
20,267
20,266
21,269
21,268
21,267
21,265
21,264
21,263
21,266
21,270
22,269
22,268
22,267
22,265
22,266
19,266
18,266
18,267
18,265
17,265
17,264
18,264
18,263
18,262
19,262
19,261
18,260
18,259
18,258
18,257
17,257
17,256
17,258
16,256
17,254
17,252
17,250
18,250
17,249
16,249
16,248
16,247
16,245
16,244
16,242
16,241
16,243
15,243
15,242
14,242
14,241
15,240
15,241
14,244
14,246
14,245
14,243
15,244
15,245
15,238
15,237
15,236
15,235
14,237
14,238
14,236
13,236
13,235
13,233
13,231
14,230
13,230
14,234
15,233
14,233
14,232
14,229
14,228
14,227
14,226
14,224
14,223
14,222
14,221
14,220
15,220
15,221
15,222
15,223
16,221
15,219
15,218
16,217
16,216
16,214
16,213
16,212
15,215
15,216
15,217
15,214
14,213
15,213
15,212
16,211
15,210
15,209
15,208
15,207
15,206
14,206
13,206
13,210
12,213
12,216
11,219
10,223
8,230
7,244
6,264
5,275
5,282
5,289
5,295
5,301
5,307
6,312
6,316
7,320
7,322
8,323
8,320
8,316
8,315
8,309
9,303
9,298
10,296
11,294
11,293
12,291
12,290
13,289
13,288
14,288
14,287
15,288
15,289
16,289
17,288
17,287
17,286
17,285
17,284
18,285
18,286
18,287
18,288
18,289
17,290
16,291
15,291
15,292
14,293
14,294
13,296
13,295
13,294
13,297
13,300
13,302
13,304
13,306
13,308
13,311
12,316
12,319
12,325
13,324
13,323
13,322
12,318
13,316
13,320
11,320
11,319
12,315
13,313
13,310
14,316
14,320
14,324
13,328
13,329
13,330
14,330
14,329
14,328
14,326
15,324
16,323
15,320
15,318
15,315
15,313
16,311
16,309
16,306
17,295
17,291
18,290
17,293
18,293
17,292
16,290
16,288
15,287
14,286
14,285
14,284
14,283
14,282
14,281
15,280
15,279
15,278
14,278
14,279
14,280
13,281
13,282
14,277
14,276
14,275
15,277
15,276
16,276
16,275
16,274
15,274
15,275
14,290
14,289
15,295
14,297
14,300
13,305
13,303
13,307
14,305
17,296
18,296
18,295
18,294
19,291
20,282
21,282
21,281
20,281
21,277
22,274
22,273
23,273
23,272
23,271
23,270
19,270
19,268
19,267
19,269
18,271
18,273
18,274
17,276
17,277
17,278
17,279
17,280
17,281
17,282
16,282
16,283
16,285
16,287
16,294
16,296
15,297
14,299
14,302
12,314
12,326
12,328
12,330
12,332
12,331
13,332
12,333
12,334
13,312
20,292
22,286
22,283
23,280
24,279
25,278
26,277
25,276
25,274
24,274
23,274
18,284
18,291
18,297
18,298
18,299
18,300
18,301
18,302
18,304
17,305
19,296
19,294
20,294
20,293
22,290
22,289
22,288
22,287
22,291
19,293
15,309
15,312
14,315
14,318
14,319
14,321
14,322
14,323
13,325
13,326
13,321
14,298
16,293
17,289
16,295
15,296
15,298
12,312
11,317
11,318
12,313
13,309
12,311
11,311
12,310
12,309
12,308
12,317
10,317
10,318
10,319
10,320
10,321
11,322
12,327
11,327
10,326
10,325
11,324
11,321
12,303
13,293
15,286
14,291
14,295
13,298
12,300
12,302
12,304
12,306
12,301
12,299
12,297
12,295
13,292
14,292
12,294
11,316
11,314
11,309
11,306
11,303
11,302
11,300
11,312
10,312
10,311
10,313
10,314
10,315
10,323
10,324
10,322
9,321
9,320
9,322
9,324
9,326
9,328
9,330
9,331
9,329
9,332
8,333
8,334
8,332
8,331
8,330
8,329
8,328
8,327
9,333
9,336
9,337
9,334
9,335
8,336
8,335
9,325
10,328
10,327
10,332
10,333
10,331
10,330
10,329
9,327
10,316
9,310
9,308
10,306
11,305
12,307
11,310
11,331
10,335
10,337
10,338
9,340
9,344
9,345
9,343
9,341
10,344
10,345
10,346
10,341
10,339
10,334
11,336
11,339
11,341
11,342
11,343
11,344
10,342
10,347
10,348
9,346
10,340
11,340
10,336
9,338
9,318
9,319
10,310
10,308
10,307
9,315
8,326
8,337
12,329
11,323
11,307
12,305
14,301
15,304
16,307
16,308
15,311
13,301
15,300
15,293
15,294
15,299
12,335
13,336
13,337
13,334
13,327
14,317
15,317
15,321
14,325
14,327
15,331
15,332
15,333
15,335
14,336
15,336
15,337
15,338
15,339
15,340
14,340
14,341
13,341
13,342
13,343
13,345
13,346
14,348
14,349
14,351
14,352
14,353
14,354
14,350
13,344
13,340
13,333
13,349
13,339
12,337
12,336
12,339
12,341
12,342
12,348
11,313
11,315
11,308
14,332
14,334
13,331
13,335
13,338
9,323
11,346
11,345
12,350
11,350
11,349
11,348
8,340
8,342
8,343
9,347
9,349
9,352
9,354
10,355
10,356
10,357
9,357
9,358
8,359
8,357
8,354
8,351
9,353
10,354
11,355
11,357
11,359
11,0
10,0
10,1
10,360
10,358
9,355
8,350
8,347
8,344
8,346
9,348
9,356
9,360
9,2
10,3
10,5
10,6
10,7
10,9
10,11
10,13
10,14
11,14
11,13
12,13
12,14
12,15
12,16
12,17
13,17
11,15
11,12
11,11
10,10
10,12
10,8
11,10
12,10
12,9
12,11
12,8
11,3
10,359
11,19
11,20
12,20
12,21
11,22
11,24
11,25
10,25
10,27
10,29
10,32
10,31
9,30
9,28
8,22
8,16
8,10
7,5
7,0
6,356
6,353
5,350
5,339
6,323
6,309
7,299
7,289
8,281
8,276
8,271
8,267
7,265
7,263
6,263
6,266
6,268
6,265
6,259
6,254
7,254
8,254
7,253
7,252
8,253
9,256
10,258
11,260
11,261
12,263
11,264
9,267
7,271
8,274
8,277
9,280
10,281
11,282
11,285
10,292
10,299
7,334
8,311
8,301
9,293
10,285
11,280
11,279
12,278
13,276
13,277
12,279
9,288
7,298
6,306
5,309
5,312
6,310
7,309
7,310
8,312
9,307
10,302
11,296
16,272
17,269
17,268
17,266
17,263
17,262
17,259
18,256
19,256
16,257
16,258
15,259
15,260
14,260
14,262
13,266
12,270
11,275
11,284
11,288
12,292
13,285
12,280
11,278
10,276
8,272
7,268
7,256
8,246
9,238
11,237
12,236
16,238
18,239
19,241
21,242
22,243
23,244
24,244
24,247
24,250
23,252
23,253
22,253
22,252
23,254
22,255
22,256
21,257
20,255
19,253
18,252
16,254
15,257
18,253
20,250
22,250
23,250
25,250
26,250
26,249
26,248
25,248
24,252
23,251
24,249
24,248
27,249
27,248
27,247
28,247
28,248
26,246
22,254
21,256
20,258
20,260
16,266
15,269
14,274
14,296
10,305
10,303
10,301
11,299
11,295
11,291
12,283
13,279
17,270
20,263
22,260
22,259
22,258
22,257
23,256
23,255
24,255
24,254
22,251
21,253
20,259
20,261
16,265
14,268
12,272
12,275
12,281
12,285
12,288
12,296
12,289
12,286
13,280
13,272
13,269
15,268
21,258
19,260
16,267
16,270
15,272
10,277
9,273
9,275
12,284
13,287
10,294
10,290
11,286
12,282
16,271
19,264
19,263
18,261
19,254
19,265
22,270
22,272
18,280
13,283
21,261
22,261
23,263
24,264
23,266
19,272
17,274
12,276
8,284
8,285
8,283
11,265
13,259
14,257
16,255
18,254
20,254
21,255
23,261
24,260
25,260
26,259
26,257
26,253
26,247
26,251
25,255
25,256
24,257
24,258
26,255
26,254
25,254
21,262
19,274
22,282
22,281
22,280
21,283
25,262
26,260
28,258
29,257
28,257
28,256
27,256
25,258
23,262
24,262
25,261
27,255
28,253
28,252
29,251
29,252
29,253
29,254
29,255
27,258
25,259
24,259
19,275
24,268
25,265
26,263
26,262
25,263
23,264
23,265
24,265
25,264
24,263
25,267
25,266
26,264
24,266
18,283
15,290
11,298
10,295
10,291
10,286
10,280
10,278
10,283
8,295
8,297
8,296
8,294
9,290
9,287
11,270
12,267
12,269
13,274
13,284
16,286
22,276
22,275
22,277
22,279
16,292
19,295
16,322
16,325
17,328
18,328
18,327
18,325
18,324
18,322
18,321
19,328
19,331
20,336
20,341
20,346
20,350
20,355
20,352
20,349
19,342
18,333
18,323
18,320
17,318
16,316
16,319
16,321
16,324
16,326
16,327
18,326
19,324
20,322
22,321
22,318
22,315
22,312
22,311
22,307
17,320
17,325
19,325
20,321
21,317
22,314
21,310
21,286
23,281
24,276
25,277
25,275
24,275
24,272
25,270
25,268
26,267
27,268
27,270
27,273
27,276
26,276
26,278
25,279
26,279
27,275
28,277
28,278
27,278
26,280
26,282
25,285
24,288
24,291
24,293
24,290
25,287
25,284
27,281
27,280
26,283
26,284
25,286
25,288
25,289
25,290
25,291
26,293
26,294
26,295
27,295
28,295
29,294
29,293
29,292
28,294
28,298
27,301
27,304
27,308
27,311
27,314
26,317
25,320
25,323
24,326
24,328
24,330
24,331
23,332
23,333
22,335
22,336
22,334
22,333
22,331
22,330
22,329
22,328
23,327
23,326
25,326
25,327
26,326
26,325
