"icode","n","min","max","mean","sd","meanpsd","meanmsd","month","code","realm","biome"
1,4109893,0,100,60.914068,18.699044,79.613112,42.215024,"01","AT_1","Afrotropics","Tropical & Subtropical Moist Broadleaf Forests"
2,236635,25,98,76.720379,8.709423,85.429802,68.010956,"01","AT_2","Afrotropics","Tropical & Subtropical Dry Broadleaf Forests"
3,16677534,0,98,44.242317,27.719529,71.961846,16.522788,"01","AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
4,32718,9,91,20.121248,9.070568,29.191816,11.05068,"01","AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands"
5,547700,9,98,48.19637,23.81296,72.00933,24.38341,"01","AT_9","Afrotropics","Flooded Grasslands & Savannas"
6,1082127,0,100,53.714442,20.585185,74.299627,33.129257,"01","AT_10","Afrotropics","Montane Grasslands & Shrublands"
7,133341,6,74,28.340503,13.405436,41.745939,14.935067,"01","AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub"
8,3035375,1,90,35.053093,17.819859,52.872952,17.233234,"01","AT_13","Afrotropics","Deserts & Xeric Shrublands"
9,90957,8,94,52.411117,17.911984,70.323101,34.499133,"01","AT_14","Afrotropics","Mangroves"
10,182688,9,92,53.494428,19.136761,72.631189,34.357667,"01","AT_98","Afrotropics","Lake"
11,15249574,1,100,34.431018,17.390752,51.82177,17.040266,"01","AN_11","Antarctic","Tundra"
12,1358169,48,100,86.110507,7.322893,93.4334,78.787614,"01","AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests"
13,104288,46,100,87.731187,7.381682,95.112869,80.349505,"01","AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests"
14,1060843,23,92,51.537248,12.248699,63.785947,39.288549,"01","AA_4","Australasia","Temperate Broadleaf & Mixed Forests"
15,2670428,38,96,69.759746,11.274759,81.034505,58.484987,"01","AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands"
16,865493,20,90,40.232647,10.316756,50.549403,29.915891,"01","AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands"
17,99967,32,100,66.319685,17.850669,84.170354,48.469016,"01","AA_10","Australasia","Montane Grasslands & Shrublands"
18,1630,67,95,83.052761,6.198847,89.251608,76.853914,"01","AA_11","Australasia","Tundra"
19,1113014,14,76,27.169085,5.701374,32.870459,21.467711,"01","AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub"
20,4626700,12,71,35.214875,10.380335,45.59521,24.83454,"01","AA_13","Australasia","Deserts & Xeric Shrublands"
21,31421,61,96,79.968652,6.165483,86.134135,73.803169,"01","AA_14","Australasia","Mangroves"
22,6661401,4,100,56.145744,28.21507,84.360814,27.930674,"01","IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests"
23,1886721,4,91,26.414383,16.247705,42.662088,10.166678,"01","IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests"
24,127677,13,100,38.894648,16.354225,55.248873,22.540423,"01","IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests"
25,200216,11,99,46.259425,14.568002,60.827427,31.691423,"01","IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests"
26,90962,14,99,45.205207,15.168883,60.37409,30.036324,"01","IM_5","IndoMalay","Temperate Conifer Forests"
27,45388,15,74,36.185886,9.633544,45.81943,26.552342,"01","IM_7","IndoMalay","Tropical & Subtropical Grasslands, Savannas & Shrublands"
28,35520,6,78,18.184488,8.965767,27.150255,9.218721,"01","IM_9","IndoMalay","Flooded Grasslands & Savannas"
29,5088,81,100,92.145637,3.899088,96.044725,88.246549,"01","IM_10","IndoMalay","Montane Grasslands & Shrublands"
30,1396261,4,76,23.439113,12.065502,35.504615,11.373611,"01","IM_13","IndoMalay","Deserts & Xeric Shrublands"
31,142941,5,97,48.876648,30.372375,79.249023,18.504273,"01","IM_14","IndoMalay","Mangroves"
32,666166,13,90,63.768729,21.559242,85.327971,42.209487,"01","NA_2","Nearctic","Tropical & Subtropical Dry Broadleaf Forests"
33,14778591,13,100,64.978417,17.710434,82.688851,47.267983,"01","NA_3","Nearctic","Tropical & Subtropical Coniferous Forests"
34,2891794,12,100,55.433491,20.905874,76.339365,34.527617,"01","NA_4","Nearctic","Temperate Broadleaf & Mixed Forests"
35,24585235,5,100,57.540165,18.13269,75.672855,39.407475,"01","NA_5","Nearctic","Temperate Conifer Forests"
36,8286176,11,100,56.408385,19.029124,75.437509,37.379261,"01","NA_6","Nearctic","Boreal Forests/Taiga"
37,526657,11,74,30.931198,8.989005,39.920203,21.942193,"01","NA_7","Nearctic","Tropical & Subtropical Grasslands, Savannas & Shrublands"
38,4899545,9,100,45.599934,14.788634,60.388568,30.8113,"01","NA_8","Nearctic","Temperate Grasslands, Savannas & Shrublands"
39,10943238,0,100,65.198571,19.641651,84.840222,45.55692,"01","NA_11","Nearctic","Tundra"
40,3015613,13,100,54.620965,13.641596,68.262561,40.979369,"01","NA_12","Nearctic","Mediterranean Forests, Woodlands & Scrub"
41,24050422,2,100,33.01612,18.12987,51.14599,14.88625,"01","NA_13","Nearctic","Deserts & Xeric Shrublands"
42,67273,22,46,29.321882,2.672267,31.994149,26.649615,"01","NA_98","Nearctic","Lake"
43,375006,24,81,38.4936,6.263764,44.757364,32.229836,"01","NA_99","Nearctic","Rock & Ice"
44,4419312,45,98,66.850532,10.64876,77.499292,56.201772,"01","NT_1","Neotropics","Tropical & Subtropical Moist Broadleaf Forests"
45,3848773,23,100,62.71011,12.258224,74.968334,50.451886,"01","NT_2","Neotropics","Tropical & Subtropical Dry Broadleaf Forests"
46,11172313,22,100,59.293299,12.309291,71.60259,46.984008,"01","NT_3","Neotropics","Tropical & Subtropical Coniferous Forests"
47,107349,49,76,57.941006,2.925809,60.866815,55.015197,"01","NT_4","Neotropics","Temperate Broadleaf & Mixed Forests"
48,5021883,22,90,54.23605,10.459219,64.695269,43.776831,"01","NT_7","Neotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
49,10829933,13,100,64.702592,14.655177,79.357769,50.047415,"01","NT_8","Neotropics","Temperate Grasslands, Savannas & Shrublands"
50,173991,27,89,42.587025,6.864995,49.45202,35.72203,"01","NT_9","Neotropics","Flooded Grasslands & Savannas"
51,3294261,18,95,39.75512,12.350377,52.105497,27.404743,"01","NT_10","Neotropics","Montane Grasslands & Shrublands"
52,1517251,25,99,70.329327,12.472049,82.801376,57.857278,"01","NT_12","Neotropics","Mediterranean Forests, Woodlands & Scrub"
53,74088083,0,100,7.282928,15.828417,23.111345,-8.545489,"01","NT_13","Neotropics","Deserts & Xeric Shrublands"
54,11000629,8,100,77.424004,10.185983,87.609987,67.238021,"01","NT_14","Neotropics","Mangroves"
55,1386714,6,100,58.160072,21.362577,79.522649,36.797495,"01","NT_98","Neotropics","Lake"
56,399192,12,99,48.530163,16.111707,64.64187,32.418456,"01","NT_99","Neotropics","Rock & Ice"
57,690949,2,100,62.363153,25.776522,88.139675,36.586631,"01","OC_1","Oceania","Tropical & Subtropical Moist Broadleaf Forests"
58,4946417,17,97,67.805275,14.427896,82.233171,53.377379,"01","OC_2","Oceania","Tropical & Subtropical Dry Broadleaf Forests"
59,2478959,11,100,38.941988,12.433166,51.375154,26.508822,"01","OC_7","Oceania","Tropical & Subtropical Grasslands, Savannas & Shrublands"
60,340291,15,96,64.372331,14.981637,79.353968,49.390694,"01","PA_1","Palearctic","Tropical & Subtropical Moist Broadleaf Forests"
61,1103937,2,100,55.954613,24.541087,80.4957,31.413526,"01","PA_4","Palearctic","Temperate Broadleaf & Mixed Forests"
62,202871,1,59,9.488133,7.845716,17.333849,1.642417,"01","PA_5","Palearctic","Temperate Conifer Forests"
63,1401083,3,99,60.966498,20.631587,81.598085,40.334911,"01","PA_6","Palearctic","Boreal Forests/Taiga"
64,151413,5,98,53.918435,19.19068,73.109115,34.727755,"01","PA_8","Palearctic","Temperate Grasslands, Savannas & Shrublands"
65,9721,34,87,58.770497,10.154217,68.924714,48.61628,"01","PA_9","Palearctic","Flooded Grasslands & Savannas"
66,31283,55,100,96.343701,6.249697,102.593398,90.094004,"01","PA_10","Palearctic","Montane Grasslands & Shrublands"
67,35354,19,100,73.450501,13.900994,87.351495,59.549507,"01","PA_11","Palearctic","Tundra"
68,18023,18,96,65.074682,17.286782,82.361464,47.7879,"01","PA_12","Palearctic","Mediterranean Forests, Woodlands & Scrub"
69,4200,17,80,33.281905,9.06422,42.346125,24.217685,"01","PA_13","Palearctic","Deserts & Xeric Shrublands"
1,4109874,0,100,68.210682,16.887429,85.098111,51.323253,"02","AT_1","Afrotropics","Tropical & Subtropical Moist Broadleaf Forests"
2,236635,15,97,69.945477,10.490436,80.435913,59.455041,"02","AT_2","Afrotropics","Tropical & Subtropical Dry Broadleaf Forests"
3,16677700,0,96,45.727986,25.706881,71.434867,20.021105,"02","AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
4,32718,5,91,13.866282,8.452695,22.318977,5.413587,"02","AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands"
5,547700,12,98,48.78763,18.222755,67.010385,30.564875,"02","AT_9","Afrotropics","Flooded Grasslands & Savannas"
6,1082121,0,100,51.572942,18.619577,70.192519,32.953365,"02","AT_10","Afrotropics","Montane Grasslands & Shrublands"
7,133341,7,74,28.402067,12.990082,41.392149,15.411985,"02","AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub"
8,3035308,1,89,34.28279,17.765874,52.048664,16.516916,"02","AT_13","Afrotropics","Deserts & Xeric Shrublands"
9,90957,13,96,55.746166,21.584604,77.33077,34.161562,"02","AT_14","Afrotropics","Mangroves"
10,182688,14,91,56.703516,14.461438,71.164954,42.242078,"02","AT_98","Afrotropics","Lake"
11,15249510,2,100,41.631346,19.390903,61.022249,22.240443,"02","AN_11","Antarctic","Tundra"
12,1358169,42,100,84.741306,7.60174,92.343046,77.139566,"02","AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests"
13,104288,44,100,84.445555,8.492073,92.937628,75.953482,"02","AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests"
14,1060843,30,92,57.491652,10.226729,67.718381,47.264923,"02","AA_4","Australasia","Temperate Broadleaf & Mixed Forests"
15,2670428,33,94,65.409496,10.443263,75.852759,54.966233,"02","AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands"
16,865493,27,95,46.009246,7.38076,53.390006,38.628486,"02","AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands"
17,99967,39,100,66.254024,17.112053,83.366077,49.141971,"02","AA_10","Australasia","Montane Grasslands & Shrublands"
18,1630,62,94,83.399387,5.925308,89.324695,77.474079,"02","AA_11","Australasia","Tundra"
19,1113014,14,81,35.434193,6.186654,41.620847,29.247539,"02","AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub"
20,4626700,14,72,39.169046,7.285236,46.454282,31.88381,"02","AA_13","Australasia","Deserts & Xeric Shrublands"
21,31421,62,95,79.460934,5.42868,84.889614,74.032254,"02","AA_14","Australasia","Mangroves"
22,6661401,3,100,54.207199,29.490818,83.698017,24.716381,"02","IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests"
23,1886718,3,90,24.798292,16.26312,41.061412,8.535172,"02","IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests"
24,127677,17,100,45.763873,16.512625,62.276498,29.251248,"02","IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests"
25,200216,17,100,57.406066,15.921891,73.327957,41.484175,"02","IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests"
26,90962,19,100,56.000814,16.585991,72.586805,39.414823,"02","IM_5","IndoMalay","Temperate Conifer Forests"
27,45388,17,79,24.64863,3.98656,28.63519,20.66207,"02","IM_7","IndoMalay","Tropical & Subtropical Grasslands, Savannas & Shrublands"
28,35520,4,81,12.211177,6.133285,18.344462,6.077892,"02","IM_9","IndoMalay","Flooded Grasslands & Savannas"
29,5088,73,99,88.810928,5.716659,94.527587,83.094269,"02","IM_10","IndoMalay","Montane Grasslands & Shrublands"
30,1396254,2,65,22.55622,12.353447,34.909667,10.202773,"02","IM_13","IndoMalay","Deserts & Xeric Shrublands"
31,142939,2,97,43.372425,29.348353,72.720778,14.024072,"02","IM_14","IndoMalay","Mangroves"
